participant,block,trial,screenID,setsize,nTarget,nDistractor,layout,colorCon,radius,cueType,cueColor,condition,ratio,correct,acc,RT
20,0,0,cue,8,2,6,intermixed,random,large,color,#2b5bee,negative,even,NA,NA,NA
20,0,0,judge,8,2,6,intermixed,random,large,color,NA,negative,even,arrowdown,1,1720
20,0,1,cue,6,4,2,intermixed,random,large,color,#2b5bee,negative,even,NA,NA,NA
20,0,1,judge,6,4,2,intermixed,random,large,color,NA,negative,even,arrowdown,1,1775
20,0,2,cue,6,4,2,intermixed,random,large,color,#ecb718,negative,even,NA,NA,NA
20,0,2,judge,6,4,2,intermixed,random,large,color,NA,negative,even,arrowdown,1,3664
20,0,3,cue,6,4,2,intermixed,random,large,color,#660fbd,negative,even,NA,NA,NA
20,0,3,judge,6,4,2,intermixed,random,large,color,NA,negative,even,arrowdown,1,2306
20,0,4,cue,10,6,4,intermixed,random,large,color,#e21212,negative,even,NA,NA,NA
20,0,4,judge,10,6,4,intermixed,random,large,color,NA,negative,even,arrowup,1,1670
20,0,5,cue,6,2,4,intermixed,random,large,color,#52970c,negative,even,NA,NA,NA
20,0,5,judge,6,2,4,intermixed,random,large,color,NA,negative,even,arrowdown,1,1347
20,0,6,cue,10,4,6,intermixed,random,large,color,#52970c,negative,even,NA,NA,NA
20,0,6,judge,10,4,6,intermixed,random,large,color,NA,negative,even,arrowup,1,1984
20,0,7,cue,8,6,2,intermixed,random,large,color,#e713b2,negative,even,NA,NA,NA
20,0,7,judge,8,6,2,intermixed,random,large,color,NA,negative,even,arrowdown,1,2261
20,0,8,cue,12,6,6,intermixed,random,large,color,#e713b2,negative,even,NA,NA,NA
20,0,8,judge,12,6,6,intermixed,random,large,color,NA,negative,even,arrowdown,1,2768
20,0,9,cue,8,6,2,intermixed,random,large,color,#0eaaaa,negative,even,NA,NA,NA
20,0,9,judge,8,6,2,intermixed,random,large,color,NA,negative,even,arrowdown,1,4472
20,0,10,cue,10,4,6,intermixed,random,large,color,#e713b2,negative,even,NA,NA,NA
20,0,10,judge,10,4,6,intermixed,random,large,color,NA,negative,even,arrowdown,1,2765
20,0,11,cue,6,4,2,intermixed,random,large,color,#52970c,negative,even,NA,NA,NA
20,0,11,judge,6,4,2,intermixed,random,large,color,NA,negative,even,arrowup,1,2129
20,0,12,cue,12,6,6,intermixed,random,large,color,#e713b2,negative,even,NA,NA,NA
20,0,12,judge,12,6,6,intermixed,random,large,color,NA,negative,even,arrowup,1,4545
20,0,13,cue,4,2,2,intermixed,random,large,color,#52970c,negative,even,NA,NA,NA
20,0,13,judge,4,2,2,intermixed,random,large,color,NA,negative,even,arrowup,1,1852
20,0,14,cue,6,2,4,intermixed,random,large,color,#e21212,negative,even,NA,NA,NA
20,0,14,judge,6,2,4,intermixed,random,large,color,NA,negative,even,arrowup,1,1286
20,0,15,cue,8,6,2,intermixed,random,large,color,#0eaaaa,negative,even,NA,NA,NA
20,0,15,judge,8,6,2,intermixed,random,large,color,NA,negative,even,arrowdown,1,2374
20,0,16,cue,8,4,4,intermixed,random,large,color,#660fbd,negative,even,NA,NA,NA
20,0,16,judge,8,4,4,intermixed,random,large,color,NA,negative,even,arrowup,1,2493
20,0,17,cue,12,6,6,intermixed,random,large,color,#0eaaaa,negative,even,NA,NA,NA
20,0,17,judge,12,6,6,intermixed,random,large,color,NA,negative,even,arrowdown,1,2641
20,0,18,cue,4,2,2,intermixed,random,large,color,#52970c,negative,even,NA,NA,NA
20,0,18,judge,4,2,2,intermixed,random,large,color,NA,negative,even,arrowup,1,1906
20,0,19,cue,8,4,4,intermixed,random,large,color,#2b5bee,negative,even,NA,NA,NA
20,0,19,judge,8,4,4,intermixed,random,large,color,NA,negative,even,arrowdown,1,1802
20,0,20,cue,10,6,4,intermixed,random,large,color,#660fbd,negative,even,NA,NA,NA
20,0,20,judge,10,6,4,intermixed,random,large,color,NA,negative,even,arrowup,1,1775
20,0,21,cue,4,2,2,intermixed,random,large,color,#ecb718,negative,even,NA,NA,NA
20,0,21,judge,4,2,2,intermixed,random,large,color,NA,negative,even,arrowup,1,1163
20,0,22,cue,6,2,4,intermixed,random,large,color,#660fbd,negative,even,NA,NA,NA
20,0,22,judge,6,2,4,intermixed,random,large,color,NA,negative,even,arrowdown,1,1202
20,0,23,cue,10,4,6,intermixed,random,large,color,#e713b2,negative,even,NA,NA,NA
20,0,23,judge,10,4,6,intermixed,random,large,color,NA,negative,even,arrowup,1,1573
20,0,24,cue,8,4,4,intermixed,random,large,color,#0eaaaa,negative,even,NA,NA,NA
20,0,24,judge,8,4,4,intermixed,random,large,color,NA,negative,even,arrowup,1,2000
20,0,25,cue,8,4,4,intermixed,random,large,color,#660fbd,negative,even,NA,NA,NA
20,0,25,judge,8,4,4,intermixed,random,large,color,NA,negative,even,arrowdown,1,1109
20,0,26,cue,8,2,6,intermixed,random,large,color,#ecb718,negative,even,NA,NA,NA
20,0,26,judge,8,2,6,intermixed,random,large,color,NA,negative,even,arrowdown,1,1483
20,0,27,cue,6,2,4,intermixed,random,large,color,#660fbd,negative,even,NA,NA,NA
20,0,27,judge,6,2,4,intermixed,random,large,color,NA,negative,even,arrowdown,1,1296
20,0,28,cue,8,2,6,intermixed,random,large,color,#e21212,negative,even,NA,NA,NA
20,0,28,judge,8,2,6,intermixed,random,large,color,NA,negative,even,arrowdown,1,1971
20,0,29,cue,4,2,2,intermixed,random,large,color,#ecb718,negative,even,NA,NA,NA
20,0,29,judge,4,2,2,intermixed,random,large,color,NA,negative,even,arrowdown,1,1791
20,0,30,cue,10,4,6,intermixed,random,large,color,#e21212,negative,even,NA,NA,NA
20,0,30,judge,10,4,6,intermixed,random,large,color,NA,negative,even,arrowdown,1,1865
20,0,31,cue,8,6,2,intermixed,random,large,color,#0eaaaa,negative,even,NA,NA,NA
