participant,P0_Q0,age,sex,P0_Q3,positive_ques,negative_ques,attention,comments
1,NA,21,Weiblich,NA,9,9,"Nein, ich war nicht abgelenkt",Das gelbe C war auf dem Hintergrund kaum ersichtlich
2,NA,27,Männlich,NA,9,8,"Nein, ich war nicht abgelenkt",
3,NA,23,Männlich,NA,9,9,"Nein, ich war nicht abgelenkt",
9,NA,22,Weiblich,NA,8,8,"Nein, ich war nicht abgelenkt",
11,NA,20,Weiblich,NA,9,9,"Nein, ich war nicht abgelenkt",
14,NA,20,Weiblich,NA,9,9,"Nein, ich war nicht abgelenkt",
22,NA,20,Weiblich,NA,7,7,"Nein, ich war nicht abgelenkt",
27,NA,26,Männlich,NA,7,7,"Nein, ich war nicht abgelenkt",
43,NA,22,Weiblich,NA,7,6,"Nein, ich war nicht abgelenkt",
46,NA,28,Männlich,NA,6,4,"Nein, ich war nicht abgelenkt",
57,NA,21,Weiblich,NA,9,9,"Nein, ich war nicht abgelenkt",
25,NA,21,Männlich,NA,8,8,"Nein, ich war nicht abgelenkt",
32,NA, 20,Weiblich,NA,9,9,"Nein, ich war nicht abgelenkt",
33,NA,20,Weiblich,NA,9,9,"Ja, ich war von etwas abgelenkt","""Akku fast leer""-Meldung - vielleicht das nächste Mal informieren, dass das Gerät am Strom sein soll, benötigt viel Leistung :)"
45,NA,20,Männlich,NA,8,8,"Nein, ich war nicht abgelenkt",
50,NA,24 ,Weiblich,NA,7,6,"Ja, ich war von etwas abgelenkt",
51,NA,21,Männlich,NA,9,9,"Nein, ich war nicht abgelenkt",
53,NA,20,Weiblich,NA,8,8,"Nein, ich war nicht abgelenkt",
54,NA,21,Weiblich,NA,9,9,"Nein, ich war nicht abgelenkt","Ich habe das Experiment spät Abend durchgeführt und war dementsprechend müde. (Keine externe Ablenkung, aber Müdigkeit)"
4,NA,28,Männlich,NA,9,9,"Nein, ich war nicht abgelenkt",
6,NA,25,Männlich,NA,9,9,"Nein, ich war nicht abgelenkt",
7,NA,25,Weiblich,NA,9,7,"Nein, ich war nicht abgelenkt",zu lang lans
12,NA,26,Männlich,NA,9,7,"Nein, ich war nicht abgelenkt","- Die Farbstärke ist ebenfalls entscheidend (rote Farben stechen dir schneller ins Auge als Gelbe)
- Mehr unterschiedliche Übungen, nach 20min den selben Kreis ansehen ist langweilig."
15,NA, 20,Female,NA,9,7,"No, I was not",
16,NA, 23,Weiblich,NA,9,9,"Nein, ich war nicht abgelenkt",
17,NA,19,Weiblich,NA,9,9,"Nein, ich war nicht abgelenkt",
18,NA,23,Männlich,NA,9,9,"Nein, ich war nicht abgelenkt",
20,NA,22,Weiblich,NA,8,8,"Nein, ich war nicht abgelenkt","Für Frage 3 habe ich wenn plus angezeigt wurde dies als information genutzt um mir dann die Farbe im Kopf zu sagen, nicht ds plus per se. (Wenn plus während dem Cs angezeigt werden verwendet werden würde, wäre meine Antwort eine 2)

Für Frage 4 etwas ähnlich wie für Frage 3, das ""-"" bringt mich dazu mir im Kopf zu sagen nicht diese Farbe wählen, nicht das wort minus selbt. (Wenn minus während dem Cs angezeigt werden verwendet werden würde, wäre meine Antwort eine 2). 
"
30,NA,18,Weiblich,NA,9,7,"Ja, ich war von etwas abgelenkt",
37,NA,29 ,Männlich,NA,9,9,"Nein, ich war nicht abgelenkt",
38,NA,19,Weiblich,NA,8,6,"Nein, ich war nicht abgelenkt","Ich würde sagen ich war nicht abgelenkt, aber ich habe durchaus manchmal gedacht ich bräuchte eine Pause oder wie lange soll ich noch das C suchen. Manchmal musste ich mir selbst auch wieder vor Augen führen was die Aufgabe ist und nach was ich suche, was das + und was das - bedeutet."
39,NA,22,Weiblich,NA,9,8,"Nein, ich war nicht abgelenkt",
40,NA,22,Weiblich,NA,8,8,"Nein, ich war nicht abgelenkt",
55,NA,32,Weiblich,NA,9,9,"Nein, ich war nicht abgelenkt",Ich hoffe die Fragen sind so korrekt beantwortet. Bin mir nicht ganz sicher was ihr mit den Fragen meint. Ohne Bedingung wüsste ich ja nicht was ich suchen muss. Und was hat euch Grün angetan? Nie durfte ich Grün suchen ;-) hihi...
56,NA,25,Weiblich,NA,9,9,"Nein, ich war nicht abgelenkt",anstregend
5,NA,27,Männlich,NA,9,9,"Nein, ich war nicht abgelenkt",Boah isch das zääch xy
8,NA,28,Männlich,NA,7,7,"Nein, ich war nicht abgelenkt",
10,NA,32,Female,NA,9,9,"Yes, I was distracted by something",
13,NA,32,Female,NA,7,7,"No, I was not",
19,NA, 27,Male,NA,8,8,"No, I was not",
21,NA, 30,Männlich,NA,9,9,"Ja, ich war von etwas abgelenkt",Huere laaaaannnng hahahah
23,NA,33,Male,NA,9,9,"No, I was not",That was somehow both mind numbing and exhausting...
24,NA,28,Männlich,NA,9,9,"Nein, ich war nicht abgelenkt",
26,NA,21,Weiblich,NA,8,6,"Nein, ich war nicht abgelenkt",
28,NA,35,Female,NA,9,9,"Yes, I was distracted by something","A bit painful for the eyes on occasion because of the chosen colours, but kind of fun to do and try different techniques! "
29,NA,25,Weiblich,NA,9,9,"Nein, ich war nicht abgelenkt",
31,NA,27,Männlich,NA,9,9,"Nein, ich war nicht abgelenkt",
34,NA,28,Männlich,NA,9,9,"Nein, ich war nicht abgelenkt",
35,NA,26,Weiblich,NA,9,9,"Nein, ich war nicht abgelenkt",
36,NA, 25,Männlich,NA,9,9,"Nein, ich war nicht abgelenkt",
41,NA,26,Weiblich,NA,9,9,"Nein, ich war nicht abgelenkt",
42,NA,27,Female,NA,9,9,"No, I was not",The 30-second breaks were an excellent addition.  
44,NA,24,Weiblich,NA,3,5,"Nein, ich war nicht abgelenkt",
47,NA,27,Männlich,NA,9,9,"Nein, ich war nicht abgelenkt",
48,NA,27,Männlich,NA,6,4,"Nein, ich war nicht abgelenkt",
49,NA,28,Weiblich,NA,9,9,"Nein, ich war nicht abgelenkt",Viel Erfolg beim Expra :)
52,NA,27,Weiblich,NA,8,8,"Ja, ich war von etwas abgelenkt","Es war ein bisschen langweilig, so lange die gleiche Aufgabe zu machen"
